canonical_id,canonical_name,variant_name,variant_id,root,lang,meaning_en,meaning_ja,confidence,relation,reasoning,similarity_candidates
11,Rua Lagoa,Rua Lagoa,11,lagoa,por,Street Lagoon,ラグーン通り,0.5,different,"The toponym 'Rua Lagoa' contains the Portuguese word 'lagoa', which means 'lagoon' or 'lake'. This indicates a water-related feature, likely a street near a lagoon or lake. The term 'Rua' is Portuguese for 'street', suggesting a man-made feature rather than a natural one. Without similar candidates, it's difficult to determine if this is a variant of another toponym. The language is clearly Portuguese, and the water-related root is 'lagoa'. Given the lack of similar candidates, the relation is marked as 'different', but with moderate confidence due to the absence of comparative data.",0
4,Travessa Rio Branco,Rua Rio Branco,12,rio,por,Crossing of the White River,白い川の交差点,0.85,same,"Rua Rio Branco and Travessa Rio Branco share the same root 'rio' which means 'river' in Portuguese, and 'Branco' meaning 'white'. Both are common street names in Portuguese-speaking regions, and the difference in 'Rua' (street) and 'Travessa' (crossing) is minor, often used interchangeably in urban naming conventions. The high confidence in similarity suggests they are likely the same location or very closely related in the same area.",3
12,Rua Paraná,Rua Paraná,13,paraná,tup,Rua Paraná likely refers to a street (Rua) named after the Paraná River or a large river (paraná in Tupi).,Rua Paranáは、おそらくパラナ川または大河（トゥピ語でparaná）にちなんで名付けられた通り（Rua）を指します。,0.5,different,"The toponym 'Rua Paraná' includes 'Paraná', which is a known Tupi root meaning 'large river'. However, 'Rua' is Portuguese for 'street', indicating this is likely a street name rather than a direct reference to a water body. Without additional similar candidates, it's challenging to determine if this is a variant of another toponym. The use of 'Paraná' suggests a Tupi origin for the river name, but the overall toponym is a mix of Portuguese and Tupi, reflecting a common practice in Brazilian place names. The confidence is moderate due to the lack of additional context or similar names to compare.",0
3,Avenida Rio Branco,Rua Barão do Rio Branco,14,rio,por,"Rua Barão do Rio Branco translates to 'Street of the Baron of the White River' in English, where 'Rio' means 'river' in Portuguese and 'Branco' means 'white'.",Rua Barão do Rio Brancoは英語で「白い川の男爵の通り」を意味し、「Rio」はポルトガル語で「川」、「Branco」は「白」を意味します。,0.5,similar,"Rua Barão do Rio Branco and Avenida Rio Branco share the common root 'rio', indicating a connection to a river. Both names include 'Rio Branco', suggesting a thematic similarity related to the 'White River'. However, the inclusion of 'Barão do' in the unknown toponym introduces a distinct element, possibly referring to a historical or honorary title, which differentiates it from the more generic 'Avenida Rio Branco'. The language is clearly Portuguese, and the water-related root 'rio' is consistent across both names. Given these factors, the relation is considered 'similar' with moderate confidence.",2
13,Travessa da Lagoa,Travessa da Lagoa,15,lagoa,por,Path of the Lagoon,ラグーンの小道,0.9,different,"The toponym 'Travessa da Lagoa' directly translates to 'Path of the Lagoon' in Portuguese, indicating a geographical feature related to a lagoon. The root 'lagoa' is a common Portuguese term for lagoon or wetland, which is consistent with water-related toponyms in the Amazon basin. There are no similar candidates provided, so the analysis is based solely on the linguistic and geographical context. The term 'Travessa' suggests a small path or street, which is a common naming convention in Portuguese for minor roads or paths near significant geographical features like lagoons. Given the lack of similar candidates, it is treated as a distinct toponym with a high confidence level.",0
14,Travessa do Lago,Travessa do Lago,16,lagoa,por,Path of the Lake,湖の小道,0.9,different,"The toponym 'Travessa do Lago' directly translates to 'Path of the Lake' in Portuguese, indicating a likely reference to a path or street near a lake. The root 'lago' is a common Portuguese term for 'lake', fitting the water-related context. There are no similar candidates provided, and the name structure is typical of Portuguese naming conventions, suggesting a straightforward interpretation without historical or phonetic variations. The confidence is high due to the clear linguistic and semantic analysis.",0
15,Rua Porto Velho,Rua Porto Velho,17,rio,por,Street of Porto Velho,ポルト・ヴェーリョ通り,0.2,different,1. 音韻的類似性の検討: 'Porto Velho' と 'Porto Acre' は音韻的に類似していない。2. 語根・語幹の共通性: 両者とも 'Porto' を含むが、これは一般的なポルトガル語の地名要素であり、特定の水関連語根ではない。3. 地理的妥当性: 'Porto Velho' はブラジルの地名として一般的であり、アマゾン流域に関連する可能性があるが、'Porto Acre' とは異なる地域を指す。4. 言語系統の識別: 両者ともポルトガル語に属する。5. 歴史的変遷の可能性: 歴史的に 'Porto Velho' と 'Porto Acre' が同一地名として扱われた記録はない。したがって、これらは異なる地名と判断される。,1
16,Rua Arlindo Porto Leal,Rua Arlindo Porto Leal,18,rio,por,Street of Arlindo Porto Leal,アルリンド・ポルト・レアル通り,0.2,different,1. 音韻的類似性: 'Rua Arlindo Porto Leal' と 'Rua Porto Acre' の間に音韻的な類似性は見られない。特に、'Arlindo' と 'Acre' は全く異なる音を持つ。2. 語根・語幹の共通性: 両者とも 'Porto' を含むが、これは一般的なポルトガル語の地名要素であり、特定の水関連語根ではない。3. 地理的妥当性: 両者ともアマゾン流域に関連する可能性があるが、直接的な地理的関連性は不明。4. 言語系統: 両者ともポルトガル語に属する。5. 歴史的変遷: 歴史的な変遷の証拠は見当たらない。これらの要因から、両者は異なる地名であると判断される。,1
7,Avenida Rio Negro,Rua Rio Negro,19,rio,por,"Rua Rio Negro refers to a street named after the Rio Negro, a major river in the Amazon basin.",Rua Rio Negroは、アマゾン流域の主要な川であるリオ・ネグロにちなんで名付けられた通りを指します。,0.7,similar,"Rua Rio Negro and Avenida Rio Negro share the same root 'rio', indicating a connection to the Rio Negro river. Both names are in Portuguese, suggesting they are named after the same geographical feature. However, 'Rua' and 'Avenida' denote different types of roads (street vs. avenue), which implies they are distinct entities within the same naming convention. The confidence is high due to the shared root and language, but the difference in road type suggests they are not the same toponym.",1
17,Estrada Porto Acre,Estrada Porto Acre,20,rio,por,Road of Porto Acre,ポルト・アクレの道,0.25,different,"The unknown toponym 'Estrada Porto Acre' and the similar candidates all share the component 'Porto', which is related to 'port' or 'harbor' in Portuguese, and is often associated with water-related roots like 'rio'. However, 'Estrada' (road) and 'Rua' (street) indicate different types of infrastructure, suggesting different toponyms. The candidates have low confidence scores, indicating weak similarity. The geographical context of 'Porto Acre' suggests a location in the Amazon region, but the specific infrastructure type differentiates them. Therefore, the relation is determined to be 'different' with a low confidence score.",3
12,Rua Paraná,Rua Ji Paraná,21,paraná,tup,"Rua Ji Paraná likely refers to a street named after a large river, similar to Rua Paraná, with 'Ji' possibly being a modifier or regional variant.",Rua Ji Paranáは、大河にちなんで名付けられた通りを指す可能性があり、Rua Paranáと類似している。「Ji」は修飾語または地域的な変種である可能性がある。,0.6,similar,Rua Ji ParanáとRua Paranáは、音韻的に類似しており、どちらもトゥピ語の大河を意味する'paraná'を含んでいる。'Ji'は地名の修飾語または地域的な変種である可能性があるが、具体的な意味は不明である。アマゾン流域における地名としての妥当性は高いが、Rua Paranáとは異なる地名である可能性があるため、similarと判定した。,2
18,Travessa Rio Grande do Norte,Travessa Rio Grande do Norte,22,rio,por,Street of the Great River of the North,北の大河の通り,0.25,different,"The unknown toponym 'Travessa Rio Grande do Norte' and the similar candidates both contain the root 'rio', indicating a connection to a river. However, the specific names 'Grande do Norte' and 'Grande do Sul' refer to different geographical regions in Brazil, suggesting they are distinct entities. Additionally, 'Travessa' and 'Rua' denote different types of streets, further supporting the distinction. The confidence level is low due to the lack of strong phonetic or historical ties between the names.",2
2,Rua Rio de Janeiro,Travessa Rio de Janeiro,23,rio,por,Street of the River of January,1月の川の通り,0.6,similar,"The toponym 'Travessa Rio de Janeiro' shares the root 'rio' with 'Rua Rio de Janeiro', indicating a common reference to a river. Both names are in Portuguese, suggesting a similar cultural and linguistic background. However, 'Travessa' typically refers to a smaller street or alley, while 'Rua' is a more general term for street, indicating a possible difference in the type of road or its significance. The confidence is moderate due to the shared root and language, but the difference in the type of street suggests they may not be the same location.",2
4,Travessa Rio Branco,Travessa Campo do Rio Branco,24,rio,por,Crossing of the White River,白い川の交差点,0.7,similar,"The unknown toponym 'Travessa Campo do Rio Branco' shares the root 'rio' with the similar candidates, indicating a connection to a river, specifically the 'White River'. The addition of 'Campo do' suggests a field or area associated with the river, which is not present in the candidates. This suggests a similar but distinct location. The phonetic similarity and shared root support a 'similar' classification, but the additional elements in the name reduce the confidence below the threshold for 'same'.",6
19,Rua Rio Moa,Rua Rio Moa,25,rio,por,Street by the Moa River,モア川沿いの通り,0.2,different,"1. 音韻的類似性: 'Rua Rio Moa' と 'Rua Beira Rio' は音韻的に類似していない。'Moa' と 'Beira' は異なる音節構造を持つ。
2. 語根・語幹の共通性: 両者とも 'rio' を含むが、これは一般的な川を示す語根であり、特定の地名を示すものではない。
3. 地理的妥当性: 'Rua Rio Moa' は特定の川（Moa川）に関連している可能性が高く、'Rua Beira Rio' は一般的な川沿いの通りを示す。
4. 言語系統の識別: 両者ともポルトガル語に属するが、地名としての特異性が異なる。
5. 歴史的変遷の可能性: 特に歴史的変遷を示す証拠はない。",1
20,Rua Beira Rio,Rua Rio Tejo,26,rio,por,Street by the River,川沿いの通り,0.2,different,"1. 音韻的類似性: 'Rua Rio Tejo' と 'Rua Beira Rio' は音韻的に類似していない。'Tejo' と 'Beira' は異なる音節構造を持つ。
2. 語根・語幹の共通性: 両者とも 'rio' という水関連語根を共有しているが、'Tejo' は特定の川の名前であり、'Beira' は位置を示す一般的な名詞である。
3. 地理的妥当性: 'Tejo' はポルトガルの川の名前であり、アマゾン流域の地名としての妥当性は低い。
4. 言語系統: 両者ともポルトガル語に属するが、'Tejo' は固有名詞であり、一般的な地名ではない。
5. 歴史的変遷: 歴史的な変遷の影響は見られない。",1
21,Rua da Fazenda,Rua da Fazenda,27,unknown,unknown,Street of the Farm,農場の通り,0.2,different,"The toponym 'Rua da Fazenda' translates to 'Street of the Farm' in Portuguese, which does not share any phonetic or semantic similarity with the candidates 'Rua Paraná' or 'Rua Lagoa'. The candidates are related to water bodies ('paraná' meaning large river in Tupi and 'lagoa' meaning lagoon in Portuguese), whereas 'Rua da Fazenda' is related to agriculture ('fazenda' meaning farm). There is no indication of historical or phonetic transformation linking 'Rua da Fazenda' to the other candidates. Therefore, it is considered a different toponym.",2
20,Rua Beira Rio,Ramal Beira Rio Dois,28,rio,por,Street by the River,川沿いの通り,0.7,similar,音韻的には 'Ramal Beira Rio Dois' と 'Rua Beira Rio' は類似しており、特に 'Beira Rio' の部分が共通しています。'Ramal' はポルトガル語で '支線' や '分岐' を意味し、'Dois' は '2' を意味します。これにより、'Ramal Beira Rio Dois' は '川沿いの支線2' と解釈され、地理的には同じ川沿いの地域を指している可能性がありますが、具体的な場所が異なる可能性があります。言語系統はポルトガル語であり、歴史的変遷の影響は少ないと考えられます。したがって、同一地名の表記揺れではなく、類似した別の地名と判断しました。,1
22,Rua Rio Negro,Rua Rio Nergro,29,rio,por,Street by the Black River,黒い川沿いの通り,0.2,different,"1. 音韻的類似性: 'Rua Rio Nergro' と 'Rua Beira Rio' は音韻的に異なる。'Nergro' は 'Negro' の誤記と考えられるが、'Beira' との音韻的類似性は低い。
2. 語根・語幹の共通性: 両者とも 'rio' を含むが、'Nergro' は 'Negro' の誤記であり、'Beira' とは異なる。
3. 地理的妥当性: アマゾン流域には 'Rio Negro' という大河が存在し、地理的に妥当。
4. 言語系統: 両者ともポルトガル語に属する。
5. 歴史的変遷: 'Rio Negro' は歴史的に確立された名称であり、'Beira Rio' とは異なる地名である可能性が高い。",1
20,Rua Beira Rio,Avenida Beira Rio,30,rio,por,Avenue by the River,川沿いの大通り,0.85,same,"The unknown toponym 'Avenida Beira Rio' shares a high phonetic similarity and the same root 'rio' with the candidate 'Rua Beira Rio'. Both names indicate a location by the river, with 'Avenida' and 'Rua' being interchangeable in this context, referring to types of roads. The language is Portuguese, and the meaning aligns with the geographical context of being near a river, which is common in the Amazon basin. The confidence is high due to the strong phonetic and semantic alignment.",4
20,Rua Beira Rio,Beco Beira Rio,31,rio,por,Street by the River,川沿いの通り,0.7,similar,"Beco Beira Rio and Rua Beira Rio share the same root 'rio', indicating a connection to a river. 'Beco' translates to 'alley' in Portuguese, while 'Rua' means 'street'. Both terms describe pathways, but 'beco' suggests a smaller or narrower passage compared to 'rua'. The geographical context of being near a river is consistent with both names. However, the difference in the type of pathway (alley vs. street) suggests they may refer to different locations or features, hence the relation is 'similar' rather than 'same'. The confidence is moderate due to the shared root and geographical context, but the distinction in pathway type prevents a 'same' classification.",3
11,Rua Lagoa,Rua do Lago,32,lagoa,por,Street Lagoon,ラグーン通り,0.85,same,"Rua do Lago and Rua Lagoa share the same root 'lagoa', which refers to a lagoon or lake in Portuguese. The difference in preposition 'do' (of the) and the absence of 'a' in 'Lagoa' is a minor variation, likely due to regional or historical naming conventions. Both names indicate a street associated with a body of water, specifically a lagoon, making them essentially the same in meaning and context.",3
11,Rua Lagoa,Rua Lago Novo,33,lagoa,por,Street New Lake,新しい湖の通り,0.6,similar,"Rua Lago Novo and Rua Lagoa share the root 'lagoa', indicating a connection to water bodies like lakes or lagoons. The term 'Novo' suggests a new or different lake, distinguishing it from 'Rua Lagoa'. Both are in Portuguese, and the similarity in structure and meaning suggests a related but distinct toponym.",3
11,Rua Lagoa,Rua Deocleciano Lago,34,lagoa,por,Street Lagoon,ラグーン通り,0.6,similar,"Rua Deocleciano Lago contains the element 'Lago', which is phonetically similar to 'Lagoa', a known water-related root in Portuguese meaning 'lagoon'. The presence of 'Deocleciano' suggests a personal name, which differentiates it from the simpler 'Rua Lagoa'. The similarity in the root 'lagoa' indicates a possible relation, but the addition of a personal name and the lack of direct phonetic match reduce the confidence to a 'similar' relation rather than 'same'. The language is identified as Portuguese, consistent with the other candidates.",3
20,Rua Beira Rio,Camino do Rio,35,rio,por,Street by the River,川沿いの通り,0.5,similar,"The unknown toponym 'Camino do Rio' shares the root 'rio' with the candidate 'Rua Beira Rio', indicating a common reference to a river. However, 'Camino' suggests a path or road, which is similar to 'Rua' (street), but not identical. The geographical context of being near a river is consistent, but the specific naming convention differs slightly. The language is Portuguese, and the confidence is moderate due to these similarities and differences.",4
23,Porto da Escadaria,Porto da Escadaria,36,rio,por,Port of the Staircase,階段の港,0.25,different,"The unknown toponym 'Porto da Escadaria' contains the word 'Porto', which is a common Portuguese term for 'port' and is related to water bodies, similar to 'rio'. However, the additional term 'Escadaria' (meaning 'staircase') does not appear in any of the similar candidates, indicating a different geographical feature or location. The similar candidates are all streets or roads named after 'Porto', but none include 'Escadaria'. Therefore, while there is a shared root in 'Porto', the specific combination with 'Escadaria' suggests a different toponym. The confidence is low due to the lack of direct matches and the unique combination of terms.",4
20,Rua Beira Rio,Travessa Beira Rio,37,rio,por,Street by the River,川沿いの通り,0.7,similar,"""Travessa Beira Rio"" and ""Rua Beira Rio"" share the same root 'rio', indicating a connection to a river. Both names suggest proximity to a river, with 'Travessa' meaning a small street or alley, and 'Rua' meaning street. The primary difference lies in the type of road indicated. The language is Portuguese, and the geographical context of being near a river is consistent with the Amazon region. However, the specific designation of 'Travessa' versus 'Rua' suggests they may refer to different types of roads or locations, leading to a 'similar' classification rather than 'same.'",4
24,Rua Rio de Sol,Rua Rio de Sol,38,rio,por,Street of the Sun River,太陽の川の通り,0.3,different,"The unknown toponym 'Rua Rio de Sol' contains the root 'rio', indicating a relation to a river, similar to the candidates. However, the addition of 'de Sol' (of the Sun) suggests a unique identifier not present in the candidates. The candidates primarily refer to streets by specific rivers or lagoons, while 'de Sol' implies a metaphorical or symbolic naming, possibly unrelated to a physical river. The language is consistent with Portuguese naming conventions, but the specific combination of 'Rio de Sol' does not match any of the provided candidates, leading to a 'different' classification with low confidence.",5
11,Rua Lagoa,Rua Laguna,39,lagoa,por,Street Lagoon,ラグーン通り,0.7,similar,"Rua Laguna and Rua Lagoa share a phonetic similarity, particularly in the initial 'Lagu-' sound, which could be a result of vowel variation or dialectal differences. Both names contain the root 'lagoa', which is a water-related term in Portuguese meaning 'lagoon'. This suggests a thematic connection to water bodies. However, the exact match is not certain due to the potential for 'Laguna' to be a distinct name or a regional variant. Given the moderate phonetic similarity and shared root, the relation is classified as 'similar' with a confidence of 0.7.",4
10,Rua Porto Acre,Rua Maria Porto,40,rio,por,Street of Porto Acre,ポルトアクレの通り,0.2,different,"Rua Maria Porto and Rua Porto Acre share the 'Porto' component, which is related to 'port' or 'harbor' in Portuguese, but the additional 'Maria' in Rua Maria Porto suggests a different naming origin, possibly a person's name. The root 'rio' indicates a connection to water, but the specific names differ significantly, leading to a 'different' classification.",5
12,Rua Paraná,Avenida Paraná,41,paraná,tup,Avenida Paraná likely refers to an avenue named after the Paraná River or a large river (paraná in Tupi).,Avenida Paranáは、おそらくパラナ川または大河（トゥピ語でparaná）にちなんで名付けられた通りを指します。,0.7,similar,"Avenida Paraná and Rua Paraná share the same root 'paraná', which is a Tupi word for a large river. Both names likely refer to streets named after the Paraná River or a similar large river. The difference in 'Avenida' and 'Rua' indicates a difference in the type of road (avenue vs street), but the core reference to a large river remains consistent. The confidence is moderate due to the shared root and similar naming convention, but the distinction in road type suggests they may not be the exact same location.",6
11,Rua Lagoa,Rua do Lago Novo,42,lagoa,por,Street New Lake,新しい湖の通り,0.7,similar,"The unknown toponym 'Rua do Lago Novo' shares the root 'lagoa' with the similar candidates, indicating a connection to water bodies like lakes or lagoons. The use of 'Rua' (street) and 'Lago' (lake) in both names suggests a thematic similarity. However, the addition of 'Novo' (new) in the unknown toponym implies a distinct identity, possibly referring to a different or newly established location. The phonetic similarity and shared root suggest a 'similar' relation, but the specific naming difference prevents a 'same' classification.",7
25,Rua Porto Seguro,Rua Porto Seguro,43,rio,por,Street of Porto Seguro,ポルト・セグーロ通り,0.3,different,"The unknown toponym 'Rua Porto Seguro' contains 'Porto', which is a common Portuguese word for 'port' and often associated with water-related locations. However, 'Seguro' does not match any known water-related roots like 'paraná' or 'igarapé'. The closest match in terms of water-related context is 'Rua Porto Acre', but the similarity is low due to the different second component ('Seguro' vs 'Acre'). The language is clearly Portuguese, and there is no strong phonetic or historical evidence to link it closely with the other candidates. Therefore, it is considered different with a low confidence level.",5
12,Rua Paraná,Ramal da Fazenda Nobreza,44,unknown,unknown,"Ramal da Fazenda Nobreza does not share a common root with Rua Paraná, which is related to large rivers (paraná).",Ramal da Fazenda NobrezaはRua Paranáと共通の語根を持たず、Rua Paranáは大河（paraná）に関連しています。,0.3,different,"Ramal da Fazenda Nobreza and Rua Paraná have different roots and meanings. 'Ramal' typically refers to a branch or spur, often in the context of roads or railways, and 'Fazenda Nobreza' suggests a noble farm, which does not align with the river-related root 'paraná'. The confidence is low due to the lack of direct phonetic or semantic connection.",5
26,Ramal Porto Dias,Ramal Porto Dias,45,rio,por,Branch of Porto Dias,ポルト・ディアスの支線,0.2,different,"The unknown toponym 'Ramal Porto Dias' contains the word 'Porto', which is a common element in the similar candidates, indicating a possible relation to water or port areas. However, the specific combination with 'Dias' does not appear in the similar candidates, and 'Ramal' suggests a branch or offshoot, which is not directly related to the other candidates. The language is identified as Portuguese, consistent with the candidates. The confidence is low due to the lack of direct phonetic or semantic matches with the candidates.",5
27,Rua do Porto,Rua do Porto,46,rio,por,Street of the Port,港の通り,0.2,different,"The unknown toponym 'Rua do Porto' translates to 'Street of the Port' in English, indicating a reference to a port, which is a common feature associated with water (root: rio). The candidates provided, such as 'Rua Porto Acre' and 'Rua Porto Velho', also contain 'Porto', but they refer to specific locations (Acre, Velho) rather than a general port. The language is Portuguese, consistent with the candidates. However, the specific reference to a 'port' rather than a named location suggests a different toponym. The confidence is low due to the lack of specific historical or phonetic ties to the candidates.",5
28,Ramal Porto Valter,Ramal Porto Valter,47,rio,por,Branch of Porto Valter,ポルト・ヴァルテルの支線,0.2,different,"The unknown toponym 'Ramal Porto Valter' contains the word 'Porto', which is a common element in the similar candidates, indicating a possible connection to water-related roots like 'rio'. However, the specific combination with 'Valter' does not match any of the candidates closely enough to suggest they are the same location. The candidates are streets or roads associated with 'Porto', but none directly relate to 'Valter'. The language is identified as Portuguese, consistent with the candidates, but the confidence is low due to the lack of a direct match.",4
29,Rua Rio Madeira,Rua Rio Madeira,48,rio,por,Street of the Madeira River,マデイラ川の通り,0.9,different,"The unknown toponym 'Rua Rio Madeira' directly refers to a specific river, the Madeira River, which is a significant river in the Amazon basin. The candidates primarily refer to generic 'Street by the River' or other specific rivers like 'Rio Negro'. The root 'rio' is common, but the specific river name 'Madeira' distinguishes it from the candidates. The language is clearly Portuguese, and the toponym is geographically relevant to the Amazon region. The confidence is high due to the specific river reference and the lack of direct matches among the candidates.",7
30,Rua Rio Urucu,Rua Rio Urucu,49,rio,por,Street by the Urucu River,ウルク川沿いの通り,0.25,different,"The unknown toponym 'Rua Rio Urucu' shares the root 'rio' with the similar candidates, indicating a common theme of being related to a river. However, 'Urucu' is a specific river name, distinct from the generic 'Beira Rio' or other river names like 'Negro' or 'Moa'. The phonetic similarity is low, and 'Urucu' does not appear in the list of similar candidates, suggesting it is a different toponym. The language is identified as Portuguese, consistent with the other candidates. The confidence is low due to the lack of direct phonetic or historical connections with the candidates.",8
31,Rua Ilha Bela,Rua Ilha Bela,50,unknown,unknown,"The name 'Ilha Bela' translates to 'Beautiful Island' in Portuguese, suggesting a non-water-related origin focused on an island.",「Ilha Bela」はポルトガル語で「美しい島」を意味し、水関連ではなく島に焦点を当てた地名である可能性があります。,0.2,different,"The unknown toponym 'Rua Ilha Bela' does not share phonetic similarity or root commonality with the provided candidates. The candidates primarily involve 'paraná' (large river) and 'lagoa' (lagoon), which are water-related roots, while 'Ilha Bela' suggests an island ('ilha' means island in Portuguese). The linguistic origin appears to be Portuguese, focusing on an island rather than a water body, which is distinct from the water-related roots of the candidates. Therefore, it is classified as 'different' with a low confidence level due to the lack of direct correlation.",7
32,Rua Rio das Flores,Rua Rio das Flores,51,rio,por,Street of the River of Flowers,花の川の通り,0.2,different,"The unknown toponym 'Rua Rio das Flores' shares the root 'rio' with all the similar candidates, indicating a common theme of being associated with a river. However, the specific modifier 'das Flores' (of Flowers) is unique and not present in any of the candidates. This suggests a distinct geographical or cultural reference, possibly indicating a different location or feature. The candidates primarily describe streets by various rivers, but none mention 'flowers,' which could be a significant local feature or historical reference. Given the lack of direct phonetic or semantic overlap with the candidates, the confidence in them being the same is low.",8
